"station","NAME","LATITUDE","LONGITUDE"
"72039300129","HEREFORD MUNICIPAL AIRPORT, TX US","34.85","-102.333"
"72039400428","DEXTER B FLORENCE MEMORIAL FIELD AIRPORT, AR US","34.0998","-93.066"
"72039500130","PLEASANTON MUNICIPAL AIRPORT, TX US","28.95","-98.517"
"72039700131","OHIO UNIVERSITY AIRPORT SNYDER FIELD, OH US","39.217","-82.233"
"72040100133","CLINTON MUNICIPAL AIRPORT, AR US","35.6","-92.45"
"72040400134","KICKAPOO DOWNTOWN AIRPORT, TX US","33.85","-98.483"
"72040500436","BLAIR MUNICIPAL AIRPORT, NE US","41.41167","-96.10861"
"72040600135","GNOSS FIELD AIRPORT, CA US","38.15","-122.55"
"72040700462","OCEAN CO AIRPORT, NJ US","39.9275","-74.2923"
"72040800136","CHESTER CO GO CARLSON AIRPORT, PA US","39.983","-75.867"
"72040999999","BLAIRSVILLE AIRPORT, GA US","34.85","-83.9833333"
"72041100137","ANGEL FIRE AIRPORT, NM US","36.422","-105.29"
"72041254943","PERRY MUNICIPAL AIRPORT, IA US","41.828","-94.15983"
"72041300138","POSEY FIELD AIRPORT, AL US","34.267","-87.6"
"72041400139","KNOX CO AIRPORT, OH US","40.333","-82.517"
"72041500140","FREMONT MUNICIPAL AIRPORT, MI US","43.433","-86.0"
"72041799999","JOHNSON STANTON CO MUNI, KS US","37.5833333","-101.7333333"
"72042103043","ATWOOD RAWLINS CO AIRPORT, KS US","39.84","-101.04194"
"72042203037","COLBY SHALTZ FIELD AIRPORT, KS US","39.4275","-101.04639"
"72042399999","WELLINGTON MUNICIPAL, KS US","37.323622","-97.388339"
"72042599999","HUGOTON MUNICIPAL, KS US","37.163081","-101.370528"
"72042600141","INDEPENDENCE MUNICIPAL AIRPORT, KS US","37.158","-95.778"
"72043299999","MCPHERSON, KS US","38.352436","-97.69133"
"72043399999","NORTON MUNICIPAL, KS US","39.850414","-99.894667"
"72043499999","OAKLEY MUNICIPAL, KS US","39.109944","-100.816444"
"72043600142","ATKINSON MUNICIPAL AIRPORT, KS US","37.45","-94.733"
"72043700143","CHEYENNE CO MUNICIPAL AIRPORT, KS US","39.767","-101.8"
"72043899999","SCOTT CITY MUNICIPAL, KS US","38.474278","-100.884944"
"72043999999","ULYSSES, KS US","37.604006","-101.373561"
"72044599999","CAMPBELLVILLE TAYLOR CO, KY US","37.358278","-85.309417"
"72044699999","SAMUELS FIELD BARDSTOWN, KY US","37.814322","-85.499639"
"72044700437","KYLE OAKLEY FIELD AIRPORT, KY US","36.66458","-88.37277"
"72044800144","STUART POWELL FIELD AIRPORT, KY US","37.578","-84.77"
"72044999999","ASHLAND REGIONAL, KY US","38.5545","-82.737999"
"72045199999","ADDINGTON FIELD, KY US","37.686","-85.925028"
"72045299999","FLEMING MASON AIRPORT, KY US","38.541806","-83.743389"
"72045399999","HOPKINSVILLE CHRISTIAN CO, KY US","36.856972","-87.455067"
"72045500145","MADISON AIRPORT, KY US","37.633","-84.333"
"72045600146","MOUNT STERLING MONTGOMERY CO AIRPORT, KY US","38.067","-83.983"
"72045799999","WENDELL H FORD AIRPORT, KY US","37.387361","-83.261611"
"72045800476","BIG SANDY REGIONAL AIRPORT, KY US","37.75102","-82.63669"
"72046499999","PIKE CO HATCHER FIELD, KY US","37.561764","-82.566389"
"72046599999","WILLIAMSBURG WHITLEY CO ARPT, KY US","36.8","-84.2"
"72046700148","GEORGE R CARR MEMORIAL AIR FIELD, LA US","30.817","-89.867"
"72046800466","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","30.55838","-92.09938"
"72047299999","STEVEN A BEAN MUNICIPAL, ME US","44.991894","-70.664625"
"72047599999","NORTHWEST MISSOURI REGIONAL, MO US","40.3525","-94.915"
"72047600455","HANNIBAL REGIONAL AIRPORT, MO US","39.72516","-91.44386"
"72047799999","FLOYD W JONES LEBANON, MO US","37.648328","-92.652431"
"72047899999","LAWRENCE SMITH MEM, MO US","38.611022","-94.342131"
"72047900149","MONETT MUNICIPAL AIRPORT, MO US","36.9","-94.017"
"72048103817","MALDEN FAA AIRPORT, MO US","36.6","-89.98333"
"72048299999","OMAR N BRADLEY, MO US","39.463858","-92.427044"
"72048399999","MARSHALL MEM MUNICIPAL, MO US","39.095756","-93.202878"
"72048499999","MEXICO MEM, MO US","39.157513","-91.818268"
"72048799999","WARSAW MUNICIPAL, MO US","38.346889","-93.345425"
"72048899999","SIKESTON MEM MUNICIPAL, MO US","36.898889","-89.56175"
"72048999999","SULLIVAN REGIONAL, MO US","38.233483","-91.164286"
"72049100150","GWINNER ROGER MELROE FIELD AIRPORT, ND US","46.217","-97.633"
"72049200151","CALEDONIA CO AIRPORT, VT US","44.567","-72.017"
"72049354758","NEWPORT STATE AIRPORT, VT US","44.88333","-72.23333"
"72049400152","FRANKLIN CO STATE AIRPORT, VT US","44.933","-73.1"
"72049800153","CHESTERFIELD CO AIRPORT, VA US","37.4","-77.517"
"72049900154","HAMPTON ROADS EXECUTIVE AIRPORT, VA US","36.783","-76.45"
"72050100155","TAPPAHANNOCK ESSEX CO AIRPORT, VA US","37.85","-76.883"
"72050499999","TALLADEGA MUNICIPAL, AL US","33.569917","-86.050856"
"72050500156","WALKER CO AIRPORT BEVILL FIELD, AL US","33.902","-87.314"
"72050799999","BESSEMER AIPORT, AL US","33.312883","-86.925919"
"72050899999","MERKEL FIELD SYLACAUGA MUNICIPAL, AL US","33.171837","-86.305539"
"72051199999","BRITTON MUNICIPAL, SD US","45.815222","-97.743139"
"72051699999","AFTON MUNICIPAL, WY US","42.711247","-110.942164"
"72051724165","KEMMERER MUNICIPAL AIRPORT, WY US","41.82389","-110.55694"
